sentence	error label	split	label
Grönländskan kommer , , enligt Lundell inte att behöva hjälp från danska språket i framtiden , utan bli mer självständigt med tiden nu när elever får lära sig det .	L-W	train	0
Hela boken handlar om att bröderna är beroende av varandras kärlek och tillsammans kan dom stå emot och besegra all ondska i världen .	L-W	train	0
Det finns bra förutsättningar för undervisning i finlandssvenska i skolan både i tal och skrift , menar Riad i sin artikel där hon även citerar Torkel Janssons , professor i historia vid Uppsala universitet , åsikt : " Medelklassen inser numera nyttan med att vara tvåspråkig och sätter barnen i svenskspråkiga skolor .	L-W	train	0
Alla som kommer från andra länder behöver lära sig svenska språket , eftersom om man inte kan språket är det svårt att förstå eller förklara vad man vill .	L-W	train	0
För att mäta lycka behöver vi olika faktorer , som utbildning , välfärd , ekonomi , frihet , trygghet , säkerhet , olika fack , olika arbetsmöjligheter , olika lediga arbetsplatser , försäkringskassan , arbetsförmedlingen , jämlikhet mellan män och kvinnor och så vidare .	O-Comp	train	0
Jag tycker att min skola är jätteviktig för mig här i Sverige eftersom jag där lär mig svenska språket som jag kan använda i mitt liv här , och jag känner att många människor blir mina bästa vänner .	L-W	train	0
En cirkelexpert förklarade att cirklarna utan tvivel var äkta när de besiktade dem .	L-W	train	1
Men jag tror att det kanske händer ibland i olika länder som Afghanistan där det är krig , att man blir tvungen att flytta till andra länder för att överleva .	L-W	train	0
Polisen kunde inte hålla deras dåliga känslor .	L-W	train	0
Efter tre månader ville han tala med mig , och jag var överraskad först , fast efter några dagar kändes det bättre och jag förstod att jag älskade honom .	L-W	train	1
Jag tycker att du kanske kan gå på en danskurs och träffa många nya människor som gillar att dansa liksom du .	L-W	train	0
Enligt SVT Nyheter förlorar staten ungefär 66 miljarder kronor varje år av svartarbete .	L-W	train	1
Eftersom det tar tid att uppfostra barn och att få arbetskraft på detta sätt , öppnade också Sverige sina gränser till flyktningar och invandrare för att få mer arbetskraft snabbare .	L-W	train	1
Det finns inte så mycket plats i min garderob trots att jag försöker att ge bort eller kasta ut dessa kläder som inte har använts på länge minst en gång om året .	L-W	train	1
Björkqvist skriver att vi nu kan diskutera vad mobilernas för- och nackdelar är och hur vi störs av människor som talar i mobilen vid fel tillfällen och hur tonåringar överdriver att använda mobilen mellan sig i samma grupp .	L-Der	train	0
Om de måste visa dem disciplin när de gör fel eller inte hör till sin pappa eller mamma , ger de barnen kärlek och känslor .	L-W	train	1
␤ Där för tycker jag att apoteket är väldigt viktigt i vårt liv .	O-Comp	train	1
Jag förstår att det är svårt när man bestämmer sig för att ta ett så stort steg som ni ska göra , men vad kul att ni kommer att stadga er .	L-W	train	1
Slutligen håller jag med om att man bör klä sig efter omständigheterna .	L-W	train	0
Mitt område är jättefint , och utsikten .	O-Comp	train	0
Som jag sa uppe , att man kan ha kontakt och kommunicera med andra personer och veta hur de mår och vad de gör .	L-W	train	1
Alla började att dissa honom och ville inte ens bjuda honom på lunchen , och till slut gifte han sig med sin kusin och då åkte han tillbaka till Sverige .	L-W	train	1
De har favoritlag som de håller på .	O-Comp	train	0
Dessutom tycker jag att du ska prata mer , kanske de är rädda för dig .	L-W	train	0
Där i mitt hemland tycker man att de som sitter i rullstol eller de som har litegran psykiska besvär eller så inte kan leva med andra människor .	L-W	train	1
Det såg man tydligt eftersom storasystern låtsades inte bry sig om sin lillasyster för att inte skada henne , och lillasystern trodde alltid att hennes storasyster något slags hatade eller ogillade henne  .	L-W	train	1
␤ Varje människor är olika och det finns några som låter sig påverkas av nya trender eller kompisar , medan det för andra människor däremot inte spelar någon roll vad är det för mode den säsongen .	L-W	train	1
Vi träffades i några minuter och när han gick kände jag att mitt hjärta stannade .	L-W	train	0
Om vi tittar på tabellen ’ Världens lyckligaste länder ’ är Sverige nummer 10 och topp-3-länderna hör ju till Skandinavien .	L-FL	train	0
Jag vill berätta för er att jag kan inte gå på kursen därför att kursen går varje dag i veckan .	L-W	train	0
De konsekvenser som relaterar till samhället på grund av svarta tjänster är alltid negativa .	L-W	train	1
De tycker att det partiet säger fel , och Sverige måste vara snällt och hjälpa dem helt utan att ställa fler frågor och villkor .	L-W	train	1
Så det kommer i första hand för dem .	L-W	train	0
Det hjälper väldigt mycket att man håller sig på gott humör också .	L-W	train	0
I hemmet kommer jag jättenära min son och jag kan lära honom mycket om livet och hur han kan bli bra person .	L-W	train	0
Jag hoppas att allting blir bra för dig .	L-W	train	0
I Sverige har t.ex. människor rätt till 12 timmars arbetsdag , en ganska hög lön och människor kan välja vilket parti som ska presentera dem i riksdagen , och dessutom känner folk att de är lika värda .	L-Der	train	1
I B-land finns det jättemycket folk , och det är orsaken till att folk inte kan få lika bra levnadsnivå som i Sverige , för det tar tid .	L-W	train	0
Jag behöver ett bibliotek eftersom jag måste låna böcker gratis och lära mig svenska språket och nya ord eller träffa svenska människor .	L-W	train	1
Man kan komma dit med olika sätt , och det beror på var man bor .	L-W	train	1
Jag brukar säga att man ska klä upp sig inte bara för sin egen självkänsla utan även för att visa uppskattning till dem man ska träffa .	L-W	train	1
Jag tycker inte att det är något problem att inte följa modetrender men att det är viktigt att respektera sociala , religiösa och kulturella klädsnormer .	L-Der	train	1
Sammanfattningsvis vill jag säga att sänkningen av åldersgränsen i valet har alla möjligheter att bli ett skäl till demokratins utveckling över hela världen .	L-Der	train	0
Det är vädret som bestämmer åt oss att klä på oss så det passar för klimatet .	L-W	train	0
Dessutom står det troligen kö då alla vill ha rast och kaffe samtidigt .	L-W	train	1
Jag och Maria pratade mycket med varandra och tittade i alla affärer , åt mat på restaurang .	L-W	train	0
Polisen har tagit Nadja eftersom hon blev misstänkt om en terrorattack .	L-W	train	1
För det första måste eleverna läsa och förstå vad deras lärare säger , När och de dricker kaffe känner de sig vaknare och försökt .	L-W	train	0
Nu liksom förr är pengar stor betydelse i våra liv .	L-W	train	1
Men jag måste bli bättre på romantik för att jag glömmer bort många romantik dagarna som till exempel alla hjärtans dag .	O-Comp	train	1
Eftersom  Sigvard är skärpt och smart planerar han att Nadja och Jocke , hans gudson , ska föras tillsammans .	L-W	train	1
Författaren Astrid Lindgren vill säga att det finns brist på kärlek mellan syskon medan författaren Arkan Asad vill förmedla att kärlek inom familjen , speciellt mellan fadern och barnet , i den utländska familjen mest handlar om respekt och heder samt att de flesta kärleksrelationer i traditionella länder är påtvingade och att det inte är äkta kärlek .	L-W	train	0
Problemet är varför han behövde skrika så här högt även om stop knäppet inte funkade .	O-Comp	train	1
Östling skriver om politiker som tycker att obligatorisk språkundervisning och prov på nynorska krävs för att skydda ett minoritetsspråk som har ett gammalt kulturarv knutet till sig .	L-W	train	0
Han beskriver även den äldre generationen som den troligtvis sista generationen som håller fast vid svenska genom att uppdatera sig med t.ex. svenska tevekanaler , tidningar och så vidare .	L-W	train	0
M1 Föräldrarna tänker att det är deras religiösa och kulturella regler som alla måste följa , och de vill ha kvar den kulturen .	L-Der	train	0
Modern och fadern gifter sig efter en djup kärlekshistoria .	L-W	train	0
När Nadja skulle åka till Jockes gård trodde hon att nästa gård skulle ligga en 10 - 15 minuters promenad bort , som i Stockholm , men det tar flera timmar och hon har på sig Stockholm vinter kläder och det går inte i Norrland .	O-Comp	train	1
För att vara lycklig bör man ha ett stadigt jobb som man trivs på .	L-W	train	1
Du har föreslagit mig att vi ska bort ta pengar från presenten .	L-Der	train	0
Tillslut bestämde de sig för att lämna hundvalparna på en hundgård men plötsligt sa jag att jag kan ta hand om valparna eftersom jag är ledig på sommaren och de blev jätteglada och tackade mig .	O-Comp	train	1
Det skapar harmoni med andra och dela detaljerna i sitt liv , sitt arbete , sina drömmar och sina ambitioner , och det berör glädje och sorg .	L-W	train	1
Efter några dagar av orolighet för sina barn var fågeln redo att flyga tillbaka till barnen , men när pojken såg att fågeln började kunna röra sin vinge satte han honom i en bur , men fågeln ville flyga tillbaka .	L-Der	train	1
Jag har valt henne för att jag kommer från ett annat land som jag vet hur svårt det är att leva i ett annat land .	L-W	train	1
Du kan prata med mig om problem som du har på området jobb och skola , och jag kan hjälpa dig .	L-W	train	0
Jag träffade min älskare för 4 år sedan vid bröllopet till hans vän och min bästa vän i A-land .	L-W	train	1
Kläder behöver inte vara dyra eller passa modet .	L-W	train	1
Men jag kan inte låta bli att stanna här och titta på dig när du glittrar i vattnet .	L-W	train	0
Jag ska solen och bada .	L-Der	train	1
Jag är en stor anhängare av grön miljö , men jag är också pragmatisk , och båda attityderna påverkar mina åsikter om hur man ska ta sig runt .	L-W	train	0
De bör vara ett mönster för alla medborgare .	L-W	train	0
Det var jättekonstigt i början när jag först flyttade hit .	O-Comp	train	0
Därför ska inspektörerna ha modet att kommunicera sanningsenligt vad de egentligen konstaterade vid inspektionen , och de ska berätta för alla hur mycket cola vi får konsumera .	L-W	train	0
␤ Enligt min åsikt är klädmode och klädstil inte samma sak .	L-W	train	0
Tydligen ska jag inte gå till kursen så jag tycker att det är bäst att be om att få pengarna tillbaka .	L-W	train	1
Du får en och Sparki får en …  , fortsätter hans son prata i sitt rum .	L-Der	train	0
Föräldrarna kan lära sig av dessa litteraturer att de inte får dominera och bestämma över sina barns liv i det här samhället .	L-W	train	1
Hon flydde  därifrån så att pappan med andra inte kunde döda henne och försökte mata henne .	L-W	train	1
Det var år 2012 och jag hade 18 år när jag träffade en tjej som hette Karin som blev min första kärlek .	L-W	train	1
På grund av trycket och pressen som är på honom bestämmer han sig en dag för att berätta sanningen för Migrationsverket , ett beslut som innebär katastrof för familjen när hans frus släktingar kräver stora skadestånd och hotar dem med hämnd .	L-W	train	0
Där bakar vi till sammans .	O-Comp	train	1
Sammanfattningsvis vill jag säga att sänkningen av åldersgränsen i valet har alla möjligheter att bli ett skäl till demokratinsutveckling över hela världen .	O-Comp	train	1
Vi har så vacker natur och luft i vår stad !	L-FL	train	0
För det första tycker jag att du ska vara rätt klädd , och det är jätteviktigt att respektera din chef genom att komma i tid .	L-W	train	0
Naturligtvis visar var människor bor vad de bär .	L-W	train	1
I mitt hus kan jag lägga mig och känna mig trygg efter en lång och jobbig dag , så därför är hemmet en viktig plats för mig .	L-W	train	1
Hon är 45 år nu och har varit anmäld i kön för fyra år för att adoptera en liten unge från Kina .	L-W	train	1
Jag förstår att många av er tycker att vi inte behöver en sådan plats om det kanske inte är ert interssan , men det är viktigt för andra .	L-Der	train	1
Många lägenheter och hus är gamla och har dålig energi-niveå .	O-Comp	train	1
Tidigare slog föräldrarna sina barn eftersom de trodde att det var möjligt att undervisa och utveckla barnet snabbare på detta sätt , men denna metod är helt fel eftersom barnets personlighet börjar bildas sedan det första året .	L-W	train	1
Det är omöjligt att ge en definition av ordet ¨ lycka ¨ .	L-W	train	0
När man säger ordet barn , är det som vi alltid tänker på lekande barn , skratt och nöjd .	L-Der	train	1
Utbildning : Det är kurser och studier för ett yrke , till exempel om man studerar på ett universitet .	L-W	train	0
Jag tycker att en bil är ett behov om man vill ha ett liv utan stress .	L-Der	train	0
␤ • Ja , jag kommer ihåg , men kommer du ihåg vad vi måste göra innan du ha en hundvalp ?	L-W	train	1
Dessutom gillar de både konst .	L-Der	train	1
Jag skrev en berättelse om honom att han ska dö i hus nummer 95 och på våning 5 och min flickvän läste den och dödade sin pappa .	L-FL	train	0
Men i den andra berättelsen , på filmen " Frozen " , där fanns också olika typer av kärlek : kärlek mellan systrar , och en typ av kärlek var det att Kristoffer var kär i Anna och de älskade varandra , eller det kärleksliv som Anna och Hans hade med varandra den dagen då Elsa blev arg och använde sin magiska kraft och osv .	L-W	train	1
Efter sin brors dom bestämmer han sig för att göra slut med henne och han ber henne att inte komma tillbaka till deras hus , och efter att han har låst ute henne bryter hon ihop och gör irrationella beslut som gör att hon blir biten av hunden .	L-W	train	1
Finns det ett behov av att ställa extra höga krav på deras levnadssätt ?	L-W	train	0
I norr Sverige finns det mycket fjäll och skogar , men i södra Sverige är landskapet plattare .	L-Der	train	1
Jag såg henne handla från mataffären och jag blev förvånad över hennes skönhet .	L-W	train	1
I Europa finns det ett femtiotal hotade språk , och ett av de språken som vi känner till är sydsamiska , för en stor del av ungdomarna i nutiden lär sig inte samiska .	L-W	train	1
Naturligtvis är det ännu bättre att min bonussons skola ligger mittemot vår lägenhet , han behöver bara stiga upp en halvtimme innan skolan ska börja för att äta frukost och byta kläder , så vi behöver inte köra honom och hit dit varje dag när han är hos oss .	O-Comp	train	0
Alltså lurar man varandra och då blir det en slags orättvis .	L-Der	train	1
Vi hade många roliga sammlinspunkten tillsammans , men vi kan träffas i framtiden och det kommer att bli kul , tror jag .	L-W	train	1
Många människor anser att barn inte behöver en vanlig familj då de helt enkelt kan växa upp med olika sätt , till exempel som en regnbågsfamilj .	L-W	train	1
Vi hade två nya klasskamrater och en ny lärare .	O-Comp	train	0
Men antligen var det jag som startade en konversation .	L-W	train	1
En jämförelse mellan Modig och Stjärnlösa nätter visar att i filmen Modig så kommer pressen från mamman , och det har till och med visats i forskning att det vanligtvis brukar vara mammor som är drivande i brottet , alltså att tvinga barnen att offra sina liv pga familjens heder .	L-W	train	0
Man kan lära sig hur man kan lösa problemet med olika konflikter i familjen , hur familjen betyder för oss , hur traditionen kan påverka livet och varför familj är så viktigt för oss .	L-W	train	1
Personligen tycker jag att åldergrensen ska sänkas men bara så länge det görs samtidigt som att de som föddes långt innan får behålla sin rösträtt trots att de kanske ligger lite efter .	L-Der	train	1
efteråt utvecklades det och 1889 var den första etappen klar i landet .	L-W	train	1
Plötsligt tänker jag att jag måste lämna det här huset ,  jag vill vara i fred och leva i fred .	L-W	train	0
Därför att de här människorna lever i ett bort land som behöver kommunicera för sina behov , och därför byggde de ett telefonnät med en bra prisnivå .	L-W	train	1
Livet innehåller ju konflikt , lycka , sorgligt med mera , men dessa verk kan lära oss att förstå livet och hur man kan bete sig för att inte hamna på fel sida eller olyckligt i livet .	L-Der	train	1
Det allra bästa var att jag kunde se det med mina barn , så vi hade en rolig tid då , och det var en stor fördel för mig att det var ett svenskt program , för jag behöver träna svenska .	L-W	train	1
Jag inser att kläder är viktiga för att det handlar om hur man presenterar sig själv för andra , men jag har också insett att kläder kan vara ett problem när du tillhör en grupp som inte så många människor gillar eller människor kritiserar , t.ex. muslimer .	L-W	train	0
Och när de blir vuxna får de välja vad och vilken typ av kläder de vill ha på sig .	L-W	train	0
B-stad-gen is-hockey lag heter C-institution , de har vunnit många matcher .	O-Comp	train	1
Filmen " Frozen " visar hur en syskonkärlek kan överkomma allt .	O-Comp	train	0
I Gotland finns flera platser där man kan bada eller sola .	L-W	train	1
Det här är en cirkel som jag växte upp med och personligen blir jag inte lycklig .	L-Der	train	0
Men alla typer av bilar behöver stora områden i vår stadt för nya parkeringar eller motorvägar .	L-FL	train	1
De ungas entusiasm och energi tillsammans med de gamlas visdom och erfarenhet .	L-FL	train	0
Uppfostran är inte begränsad till en tidsperiod av ett människoliv fast är en kontinuerlig process i det .	L-W	train	1
Det finns bra förutsättningar för undervisning av finlandssvenska i skolan både i tal och skrift , menar Riad i sin artikel där hon även citerar Torkel Janssons , professor i historia vid Uppsala universitet , åsikt : " Medelklassen inser numera nyttan med att vara tvåspråkig och sätter barnen i svenskspråkiga skolor .	L-W	train	1
När vi var kompisar med varandra var du inte ensam i den stan och du kunde ha olika vänner .	L-W	train	0
Det börjar med hur man läser och skriver men man kan gå vidare och få mera kunskap på högskolan , för att hitta jobb som läkare , ingenjör och annat .	L-W	train	0
Nu är pojken lite ledsen men han vet mycket väl vad det menar att lova i den här familjen .	L-W	train	1
␤ Förre jag flyttade till Sverige bodde jag i ett stort radhus i D-stad , C-land .	L-W	train	1
I omsorg ingår hur man kan ta sina barn skola och vad de ska äta .	L-W	train	1
Och många bordde i det fördolda och håller sig hela tiden undan från att göra militaritjänsten för att militären inte skulle hitta dem .	L-W	train	1
För det första finns det bara en kaffeautomat och en godisautomat och det finns så många studenter som vill köpa kaffe eller godis i sin paus , så de får stå länge i kö .	L-W	train	1
Hur Tove Nandorf påpekar , ” dagens skola är enbart inriktad på kunskap och elevernas rättigheter ” , så är det en allmän brist .	L-W	train	1
Om man till exempel  åker till Malmö då kan man träffa folk som  inte ens kan tala svenska och när man frågar dem då svarar de att det finns inget behov för det .	L-W	train	1
Det allra bästa med biblioteket var att det fanns olika platser för barn för att läsa och leka .	L-W	train	0
␤ Människor från fattiga länder är mer religiösa än människor från rika länder .	L-W	train	0
Om en person kommer från ett rikare land så behövs mycket kortare tid för att få sitt medborgarskp även om personen inte ens kan tala svensk .	L-Der	train	1
Men det är klart att bilen är det bästa alternativet för att resa långt eller flytta till en annan stad .	L-FL	train	0
Ljuset är inte för starkt men inte för svagt heller .	L-W	train	0
När det gäller språkundervisning av språken i Norge , så tvingas alla skolungdomar i landet lära sig båda språken - nynorskan och bokmålet .	L-W	train	1
För det första tycker jag att det är religion för dom att bära slöja så jag tror inte att de är nöjda i den här saken så det är inte rätt att kränka deras rättigheter .	L-W	train	1
Huvudsaken är för min del att kläderna ska vara funktionella mer än att de ska vara snygga eller trendiga .	L-W	train	1
Det finns ikke vilje hos folk til å beholde nynorsk " , lyder det i ett debattinlägg .	L-W	train	1
För två år sen fick jag mitt nuvarande jobb trots att jag inte kan språket så bra .	O-Comp	train	0
Jag gillar alla platser i naturen med träd och vatten .	L-W	train	0
Vem väcker dig ?	L-W	train	0
OBS jag hinner inte sluta för att jag tror inte att det finns tid .	L-Der	train	1
Vi var tillsammans tills hon gick på universitetet .	L-W	train	1
Avslutningsvis vill jag säga att ’ lycka ’ i olika kulturer beror på ens personlighet och förmåga att härda ut med det som är svårt , eller rättare sagt ’ lycka ’ beror på hur vi anser på misslyckanden .	L-Der	train	1
Varför finns så många psykiskt sjuka i de främsta länderna ?	L-W	train	1
Inledning : Det finns många flerspråkiga som lever i Sverige i dag och det kan bero på att människor invandrar från andra länder eller det kan också vara svenskar som lär sig  internationella språk som engelska , spanska , franska eller tyska .	L-W	train	0
Det kommer mycket avgaser från dem , sen blir luften dålig och inte bra för andningen och lungorna .	L-W	train	1
Klimax eller lösningen är där Elsa har sin syster i sina händer och är ledsen över att hon förlorade sin syster , men Anna blir frisk när Elsa kramar henne .	L-W	train	1
Jag vet inte varför jag inte deltog aktivt i mitt land .	O-Comp	train	0
Enligt min uppfattning är den enda lösningen att öka medvetenheten i samhället , utbilda människor och förklara risken med detta fenomen för samhällets struktur .	L-W	train	0
Det kan skapa individualism och ensamhet då varje person i familjen hittar och lever i sin egen värld och bara känner sig fysiskt närvarande .	L-W	train	0
I mitt hemland studerade jag som dataingenjör .	L-W	train	1
På torget ligger två stora sten lejonar , alla i B-stad känner till dem , det är en vanlig plats att träffa vänner !	O-Comp	train	1
En busshållplats , en pizzeria och en tobaksaffär ligger 5 min hemifrån .	O-Comp	train	0
Annas blir de misshandlade av båda familjerna .	L-W	train	1
